,year_month,ticker_count,gross_market_cap,traded_volume_monthly,traded_volume_daily,traded_money_monthly,traded_money_daily,turnover_rate_share,turnover_rate_marketcap
0,2006-01,1793.0,737086325125000.0,25534982227.0,1215951535.0,179179835826000.0,8532373135000.0,68.38,24.62
1,2006-02,1800.0,737079339923000.0,20162998131.0,1008149907.0,130463637759000.0,6523181888000.0,53.51,18.25
2,2006-03,1803.0,732731013356000.0,20529536788.0,933160763.0,116125286197000.0,5278422100000.0,53.69,16.2
3,2006-04,1800.0,765496084883000.0,19082705266.0,954135263.0,122588954985000.0,6129447749000.0,49.35,16.04
4,2006-05,1806.0,708739459435000.0,14706137416.0,735306871.0,108759809421000.0,5437990471000.0,37.72,14.52
5,2006-06,1817.0,696909806439000.0,12414578193.0,591170390.0,88458855961000.0,4212326474000.0,31.61,13.18
6,2006-07,1829.0,694355112400000.0,11931347121.0,596567356.0,73856334249000.0,3692816712000.0,29.76,10.76
7,2006-08,1832.0,729065135900000.0,13208337145.0,600378961.0,86845361760000.0,3947516444000.0,32.67,12.29
8,2006-09,1835.0,742362174230000.0,16488404478.0,785162118.0,93294333685000.0,4442587318000.0,40.5,12.7
9,2006-10,1840.0,737661500130000.0,15201916280.0,800100857.0,85511667094000.0,4500614058000.0,37.07,11.7
10,2006-11,1848.0,776316571700000.0,18341083822.0,833685628.0,102536444888000.0,4660747495000.0,44.33,13.47
11,2006-12,1860.0,776724940246000.0,15385328816.0,809754148.0,88373932007000.0,4651259579000.0,37.1,11.5
12,2007-01,1870.0,738136272132000.0,18283140293.0,831051832.0,95748600274000.0,4352209103000.0,43.66,12.79
13,2007-02,1874.0,769085343993000.0,15711308235.0,826910960.0,98076592207000.0,5161925906000.0,37.21,12.61
14,2007-03,1874.0,792893339848000.0,21475729649.0,1022653793.0,109217276468000.0,5200822689000.0,50.67,14.0
15,2007-04,1871.0,841403135343000.0,24422502647.0,1162976317.0,141742338606000.0,6749635172000.0,57.55,17.07
16,2007-05,1878.0,929830039450000.0,21351405024.0,1016733573.0,145513765351000.0,6929226921000.0,50.32,16.46
17,2007-06,1881.0,963923485852000.0,22912948097.0,1145647405.0,196712368316000.0,9835618416000.0,53.69,20.42
18,2007-07,1893.0,1068234656622000.0,21270965621.0,1012903125.0,204719018443000.0,9748524688000.0,49.34,19.41
19,2007-08,1897.0,1035642815608000.0,22356622807.0,1016210128.0,180970257087000.0,8225920777000.0,51.35,18.07
20,2007-09,1908.0,1080027665634000.0,18715840479.0,1100931793.0,132736317216000.0,7808018660000.0,42.31,12.75
21,2007-10,1923.0,1140065239242000.0,22144814340.0,1006582470.0,231439248966000.0,10519965862000.0,47.87,20.89
22,2007-11,1933.0,1057644939793000.0,17251172647.0,784144211.0,199220633169000.0,9055483326000.0,36.75,18.63
23,2007-12,1941.0,1051897699002000.0,14861840316.0,825657795.0,127528444936000.0,7084913608000.0,31.31,12.07
24,2008-01,1948.0,905122587000000.0,17121109994.0,778232272.0,155728058506000.0,7078548114000.0,35.57,16.21
25,2008-02,1953.0,955462088554000.0,14850661476.0,825036749.0,110079021154000.0,6115501175000.0,30.62,11.67
26,2008-03,1954.0,954348107052000.0,15950544213.0,759549724.0,128521683419000.0,6120080163000.0,32.86,13.93
27,2008-04,1950.0,1018337215126000.0,16663491001.0,793499571.0,151003040188000.0,7190620961000.0,34.06,15.22
28,2008-05,1953.0,1033890839272000.0,14251944466.0,750102340.0,139078664095000.0,7319929689000.0,28.54,13.49
29,2008-06,1961.0,936867749798000.0,16369686266.0,818484313.0,120149960590000.0,6007498030000.0,32.61,12.23
30,2008-07,1972.0,889537942958000.0,20021733685.0,870510160.0,138705540191000.0,6030675660000.0,39.37,15.83
31,2008-08,1969.0,819939468081000.0,14274961637.0,713748082.0,97382361081000.0,4869118054000.0,27.81,11.35
32,2008-09,1974.0,804007057697000.0,18373997956.0,874952284.0,139590026102000.0,6647144100000.0,35.63,17.4
33,2008-10,1978.0,613931991372000.0,20024950969.0,910225044.0,148327152246000.0,6742143284000.0,38.36,22.93
34,2008-11,1976.0,596091749904000.0,22249044002.0,1112452200.0,132028041507000.0,6601402075000.0,42.36,22.11
35,2008-12,1977.0,623113914599000.0,23461213313.0,1117200634.0,135549959258000.0,6454759965000.0,45.23,21.9
36,2009-01,1980.0,649685595069000.0,18464814667.0,971832351.0,112791770362000.0,5936408966000.0,35.73,17.47
37,2009-02,1978.0,598678137052000.0,24784958422.0,1239247921.0,124381240084000.0,6219062004000.0,47.87,19.43
38,2009-03,1983.0,683877679624000.0,26862410598.0,1221018664.0,145559193819000.0,6616326992000.0,51.91,22.55
39,2009-04,1962.0,784249365412000.0,34920522077.0,1587296458.0,234514707864000.0,10659759448000.0,67.5,31.05
40,2009-05,1955.0,805537202597000.0,33121573195.0,1743240694.0,207109742873000.0,10900512783000.0,64.0,25.71
41,2009-06,1954.0,793898314952000.0,31441314743.0,1429150670.0,167953999176000.0,7634272690000.0,60.71,20.89
42,2009-07,1951.0,886756564026000.0,27973940776.0,1216258295.0,174755932404000.0,7598084018000.0,53.86,20.92
43,2009-08,1947.0,909825271150000.0,27955959141.0,1331236150.0,197043684279000.0,9383032585000.0,53.58,21.89
44,2009-09,1947.0,952571397411000.0,28368882455.0,1289494657.0,217478202557000.0,9885372844000.0,53.86,22.97
45,2009-10,1948.0,907068399622000.0,21277088880.0,1013194709.0,154643512613000.0,7363976791000.0,40.0,16.59
46,2009-11,1950.0,895001671966000.0,21574291792.0,1027347228.0,121288019168000.0,5775619960000.0,39.86,13.35
47,2009-12,1961.0,974038529005000.0,22896956518.0,1090331263.0,139715573407000.0,6653122543000.0,41.89,14.69
48,2010-01,1964.0,932748904267000.0,28660459698.0,1433022985.0,187877319076000.0,9393865954000.0,51.77,19.2
49,2010-02,1969.0,931764800584000.0,22781709521.0,1199037343.0,120004210372000.0,6316011072000.0,40.87,12.87
50,2010-03,1969.0,993961101142000.0,28620675808.0,1300939809.0,145618445707000.0,6619020259000.0,51.16,14.92
51,2010-04,1946.0,1023802128351000.0,22869592983.0,1039526954.0,165941839800000.0,7542810900000.0,40.84,16.35
52,2010-05,1929.0,990979029886000.0,19163123265.0,1008585435.0,159080215647000.0,8372642929000.0,34.35,16.13
53,2010-06,1933.0,1024517568350000.0,17070856461.0,812897927.0,141209815851000.0,6724276945000.0,30.59,13.85
54,2010-07,1935.0,1060265334602000.0,20032520045.0,910569093.0,155743039937000.0,7079229088000.0,35.78,14.91
55,2010-08,1941.0,1048894549333000.0,18945495231.0,861158874.0,143480536042000.0,6521842547000.0,33.56,13.52
56,2010-09,1949.0,1129155067183000.0,16276372496.0,856651184.0,143363285118000.0,7545436059000.0,28.7,13.1
57,2010-10,1949.0,1144190167652000.0,18448700654.0,878509555.0,176452401688000.0,8402495318000.0,32.43,15.43
58,2010-11,1955.0,1153383027984000.0,21437094791.0,974413400.0,188526546052000.0,8569388457000.0,37.69,16.15
59,2010-12,1962.0,1239857714208000.0,22692385455.0,1031472066.0,166355253448000.0,7561602429000.0,39.92,13.74
60,2011-01,1970.0,1258861346446000.0,22521969253.0,1072474726.0,209116146961000.0,9957911760000.0,39.46,16.46
61,2011-02,1974.0,1185351334770000.0,17000881269.0,1000051839.0,140047087685000.0,8238063981000.0,29.59,11.51
62,2011-03,1972.0,1285329538377000.0,20734449952.0,942474998.0,196377245349000.0,8926238425000.0,36.04,16.05
63,2011-04,1956.0,1331802202920000.0,20366695534.0,969842644.0,237365585945000.0,11303123140000.0,35.54,18.06
64,2011-05,1951.0,1300026184793000.0,13140777937.0,657038897.0,171189107695000.0,8559455385000.0,22.96,13.25
65,2011-06,1959.0,1281673546162000.0,12789440355.0,609020969.0,163388069725000.0,7780384273000.0,22.34,12.95
66,2011-07,1966.0,1313367716293000.0,16270197011.0,774771286.0,188019488952000.0,8953308998000.0,28.63,14.27
67,2011-08,1968.0,1164819045164000.0,21149835282.0,961356149.0,235920323649000.0,10723651075000.0,37.32,20.52
68,2011-09,1964.0,1095120737207000.0,18068979278.0,903448964.0,172123501456000.0,8606175073000.0,31.84,15.55
69,2011-10,1961.0,1183798427704000.0,18757705817.0,937885291.0,194856084970000.0,9742804249000.0,33.14,17.21
70,2011-11,1966.0,1152571133744000.0,20157921892.0,916269177.0,181898672376000.0,8268121472000.0,35.52,15.69
71,2011-12,1974.0,1147992743255000.0,21538571271.0,1025646251.0,169766028710000.0,8084096605000.0,37.96,14.56
72,2012-01,1975.0,1226569821803000.0,20020963122.0,1001048156.0,164296950365000.0,8214847518000.0,35.16,13.8
73,2012-02,1975.0,1279196102910000.0,29531572462.0,1406265355.0,206607044995000.0,9838430714000.0,51.68,16.43
74,2012-03,1973.0,1269244129351000.0,26239835115.0,1249515958.0,159998519649000.0,7618977126000.0,45.86,12.54
75,2012-04,1963.0,1244900575597000.0,22112819858.0,1105640993.0,138313987038000.0,6915699352000.0,38.71,11.02
76,2012-05,1956.0,1160765886283000.0,19785219074.0,942153289.0,132233663528000.0,6296841120000.0,34.72,11.13
77,2012-06,1951.0,1174322039660000.0,19752754968.0,987637748.0,115559414528000.0,5777970726000.0,34.65,9.92
78,2012-07,1953.0,1188247020187000.0,22353886929.0,1016085770.0,128212764745000.0,5827852943000.0,39.22,11.08
79,2012-08,1952.0,1209250034609000.0,22092394890.0,1004199768.0,136606266930000.0,6209375770000.0,38.68,11.26
80,2012-09,1947.0,1265427140740000.0,30100690943.0,1505034547.0,157955398013000.0,7897769901000.0,52.9,12.68
81,2012-10,1943.0,1215427374211000.0,22249397842.0,1059495135.0,143015565092000.0,6810265004000.0,39.18,11.57
82,2012-11,1941.0,1226630499937000.0,19641590912.0,892799587.0,136748025806000.0,6215819355000.0,34.68,11.29
83,2012-12,1940.0,1263416109744000.0,13243598798.0,735755489.0,104744016019000.0,5819112001000.0,23.38,8.39
84,2013-01,1934.0,1246277749120000.0,21296389302.0,968017696.0,137668666963000.0,6257666680000.0,37.61,10.92
85,2013-02,1935.0,1292332911628000.0,15881186232.0,835851907.0,105309162256000.0,5542587487000.0,28.11,8.35
86,2013-03,1932.0,1285684609839000.0,16348536675.0,817426834.0,120710286044000.0,6035514302000.0,28.86,9.47
87,2013-04,1924.0,1264020231694000.0,17872741239.0,812397329.0,150821939901000.0,6855542723000.0,31.79,12.09
88,2013-05,1917.0,1295277963631000.0,16229086770.0,772813656.0,136771965579000.0,6512950742000.0,29.18,10.72
89,2013-06,1914.0,1201877102771000.0,14431606181.0,759558220.0,111007154795000.0,5842481831000.0,26.08,9.14
90,2013-07,1933.0,1242853893501000.0,15844638412.0,688897322.0,121477524346000.0,5281631493000.0,28.37,10.03
91,2013-08,1935.0,1248811412812000.0,15098145731.0,718959321.0,120423504312000.0,5734452586000.0,27.07,9.77
92,2013-09,1937.0,1293100827146000.0,10678993264.0,593277404.0,108986655729000.0,6054814207000.0,19.16,8.48
93,2013-10,1945.0,1319585064762000.0,12556427837.0,597925135.0,124596949710000.0,5933188081000.0,22.48,9.49
94,2013-11,1958.0,1326970858449000.0,12304021630.0,585905792.0,107389697444000.0,5113795116000.0,21.92,8.23
95,2013-12,1977.0,1306189686166000.0,10153131983.0,507656599.0,91629482825000.0,4581474141000.0,17.96,7.1
96,2014-01,1972.0,1269836315974000.0,12779944722.0,638997236.0,110714836567000.0,5535741828000.0,22.49,8.71
97,2014-02,1974.0,1302811401425000.0,11484237152.0,574211858.0,107148328985000.0,5357416449000.0,20.38,8.42
98,2014-03,1971.0,1315153212673000.0,12381444377.0,589592589.0,117786072667000.0,5608860603000.0,21.88,9.12
99,2014-04,1965.0,1303715069183000.0,12579044828.0,571774765.0,124139685492000.0,5642712977000.0,22.1,9.39
100,2014-05,1967.0,1325747685862000.0,10706708907.0,563510995.0,105177961195000.0,5535682168000.0,18.88,7.94
101,2014-06,1972.0,1328400341807000.0,9470328822.0,498438359.0,101874085082000.0,5361793952000.0,16.71,7.71
102,2014-07,1970.0,1374298110546000.0,14357769361.0,624250842.0,138084988549000.0,6003695154000.0,25.1,10.25
103,2014-08,1978.0,1379375344421000.0,12723103721.0,636155186.0,126327160408000.0,6316358020000.0,22.12,9.22
104,2014-09,1978.0,1347261077877000.0,13614329625.0,716543664.0,124589923064000.0,6557364372000.0,23.65,9.14
105,2014-10,1983.0,1320938560188000.0,15230162009.0,725245810.0,142272369149000.0,6774874721000.0,26.33,10.92
106,2014-11,1997.0,1358971419128000.0,13621886928.0,681094346.0,134400026973000.0,6720001349000.0,23.37,10.11
107,2014-12,2035.0,1336765867949000.0,16055104078.0,764528766.0,126288650475000.0,6013745261000.0,27.29,9.43
108,2015-01,2027.0,1371659325525000.0,16921043437.0,805763973.0,150716960273000.0,7176998108000.0,28.58,11.16
109,2015-02,2026.0,1403727616399000.0,14273053043.0,839591355.0,127673917087000.0,7510230417000.0,24.05,9.23
110,2015-03,2026.0,1447880812633000.0,20157705109.0,916259323.0,177921504426000.0,8087341110000.0,33.96,12.49
111,2015-04,2025.0,1515196189763000.0,25709085165.0,1168594780.0,239233854206000.0,10874266100000.0,43.11,15.9
112,2015-05,2030.0,1513618360893000.0,16548718096.0,919373228.0,176984975653000.0,9832498647000.0,27.6,11.73
113,2015-06,2054.0,1499703335431000.0,20917340151.0,950788189.0,223079197739000.0,10139963534000.0,34.74,15.03
114,2015-07,2063.0,1472292882580000.0,28560048157.0,1241741224.0,257130782416000.0,11179599235000.0,47.31,17.22
115,2015-08,2076.0,1407911516844000.0,18207069314.0,910353466.0,180361455840000.0,9018072792000.0,29.89,12.77
116,2015-09,2083.0,1424859606518000.0,23304237699.0,1165211885.0,162482956417000.0,8124147821000.0,38.07,11.54
