ticker,ticker_nm,market_cap,market_cap_ratio,share_count,foreign_ratio,industry
005930,삼성전자,327770719182000,0.1688,128386494,,통신 및 방송 장비 제조업
000660,SK하이닉스,64355409066000,0.0331,728002365,,반도체 제조업
068270,셀트리온,38210591076000,0.0197,122666424,,기초 의약물질 및 생물학적 제제 제조업
005935,삼성전자우,38060853480000,0.0196,18072580,,
005380,현대차,34032716005500,0.0175,220276479,,자동차용 엔진 및 자동차 제조업
207940,삼성바이오로직스,30468982500000,0.0157,66165000,,기초 의약물질 및 생물학적 제제 제조업
005490,POSCO,30123051492500,0.0155,87186835,,1차 철강 제조업
051910,LG화학,28942860630000,0.0149,70592343,,기초 화학물질 제조업
105560,KB금융,26341026831000,0.0136,418111537,,기타 금융업
035420,NAVER,26172367126000,0.0135,32962679,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
028260,삼성물산,25323620740500,0.013,189690043,,기타 전문 도매업
032830,삼성생명,23600000000000,0.0122,200000000,,보험업
012330,현대모비스,23021823599500,0.0119,97343863,,자동차 신품 부품 제조업
034730,SK,21670971476000,0.0112,70360297,,기타 금융업
055550,신한지주,21528661249800,0.0111,474199587,,기타 금융업
015760,한국전력,20318163037050,0.0105,641964077,,전기업
018260,삼성에스디에스,19770027900000,0.0102,77377800,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
096770,SK이노베이션,19602699568000,0.0101,92465564,,기타 금융업
017670,SK텔레콤,18571513530000,0.0096,80745711,,전기 통신업
066570,LG전자,18410379075000,0.0095,163647814,,통신 및 방송 장비 제조업
051900,LG생활건강,17960926550000,0.0092,15618197,,기타 화학제품 제조업
090430,아모레퍼시픽,17508317755000,0.009,58458490,,기타 화학제품 제조업
003550,LG,15288561806600,0.0079,172557131,,기타 금융업
091990,셀트리온헬스케어,15058934940000,0.0078,137524520,,기타 전문 도매업
011170,롯데케미칼,14926944974500,0.0077,34275419,,기초 화학물질 제조업
086790,하나금융지주,14291522151200,0.0074,300242062,,기타 금융업
006400,삼성SDI,14062346385000,0.0072,68764530,,일차전지 및 축전지 제조업
033780,KT&G,13866542197000,0.0071,137292497,,담배 제조업
000810,삼성화재,13359704034000,0.0069,47374837,,보험업
010950,S-Oil,13228478060000,0.0068,112582792,,석유 정제품 제조업
000270,기아차,12890554434600,0.0066,405363347,,자동차용 엔진 및 자동차 제조업
251270,넷마블게임즈,12669140710000,0.0065,85027790,,소프트웨어 개발 및 공급업
002790,아모레G,11337999750000,0.0058,82458180,,기타 금융업
035720,카카오,10525263036000,0.0054,76270022,,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
000030,우리은행,10511800000000,0.0054,676000000,,은행 및 저축기관
034220,LG디스플레이,9786259395000,0.005,357815700,,전자부품 제조업
036570,엔씨소프트,9214389240000,0.0047,21939022,,소프트웨어 개발 및 공급업
010130,고려아연,9180255000000,0.0047,18870000,,1차 비철금속 제조업
024110,기업은행,9155653625250,0.0047,559978815,,은행 및 저축기관
009540,현대중공업,8613144752000,0.0044,56665426,,선박 및 보트 건조업
215600,신라젠,8571892279200,0.0044,68193256,,자연과학 및 공학 연구개발업
139480,이마트,7833105139000,0.004,27875819,,종합 소매업
009150,삼성전기,7544063296000,0.0039,74693696,,전자부품 제조업
030200,KT,7180574720000,0.0037,261111808,,전기 통신업
004020,현대제철,6859113349000,0.0035,133445785,,1차 철강 제조업
267250,현대로보틱스,6783375980500,0.0035,16286617,,기타 금융업
161390,한국타이어,6701641232900,0.0035,123875069,,고무제품 제조업
021240,코웨이,6539103775400,0.0034,74818121,,그외 기타 개인 서비스업
023530,롯데쇼핑,6454009786500,0.0033,28122047,,종합 소매업
006800,미래에셋대우,6256711071120,0.0032,666316408,,금융 지원 서비스업
018880,한온시스템,6245460000000,0.0032,533800000,,일반 목적용 기계 제조업
008930,한미사이언스,6108629485400,0.0031,63499267,,기타 금융업
086280,현대글로비스,6056250000000,0.0031,37500000,,기타 운송관련 서비스업
035250,강원랜드,6054516150000,0.0031,213940500,,유원지 및 기타 오락관련 서비스업
128940,한미약품,5977487775000,0.0031,11385691,,의약품 제조업
078930,GS,5900126503000,0.003,92915378,,기타 금융업
088350,한화생명,5593333200000,0.0029,868530000,,보험업
032640,LG유플러스,5566794852750,0.0029,436611361,,전기 통신업
047810,한국항공우주,5127190628200,0.0026,97475107,,"항공기,우주선 및 부품 제조업"
097950,CJ제일제당,4952498194000,0.0026,15053186,,기타 식품 제조업
009830,한화케미칼,4837154686650,0.0025,164809359,,기초 화학물질 제조업
001040,CJ,4741262175000,0.0024,29176998,,기타 금융업
005830,DB손해보험,4736520000000,0.0024,70800000,,보험업
271560,오리온,4704486619000,0.0024,39533501,,기타 식품 제조업
071050,한국금융지주,4653120332000,0.0024,55725992,,기타 금융업
004990,롯데지주,4590450900000,0.0024,73683000,,기타 금융업
000720,현대건설,4565586365000,0.0024,111355765,,토목 건설업
004800,효성,4319446965000,0.0022,35117455,,화학섬유 제조업
036460,한국가스공사,4283323200000,0.0022,92313000,,연료용 가스 제조 및 배관공급업
029780,삼성카드,4118783575050,0.0021,115858891,,기타 금융업
005940,NH투자증권,4052287972800,0.0021,281408887,,금융 지원 서비스업
086900,메디톡스,3858888177000,0.002,5656535,,기초 의약물질 및 생물학적 제제 제조업
084990,바이로메드,3845458660000,0.002,15956260,,자연과학 및 공학 연구개발업
012750,에스원,3697320019400,0.0019,37999178,,"경비, 경호 및 탐정업"
002380,KCC,3678944780500,0.0019,10556513,,기타 화학제품 제조업
016360,삼성증권,3674695000000,0.0019,89300000,,금융 지원 서비스업
079440,아이엔지생명,3640800000000,0.0019,82000000,,보험업
005387,현대차2우B,3618453813000,0.0019,37613865,,
138930,BNK금융지주,3601584468300,0.0019,325935246,,기타 금융업
009240,한샘,3506555272000,0.0018,23533928,,생활용품 도매업
008770,호텔신라,3493082769000,0.0018,39248121,,기타 상품 전문 소매업
028050,삼성엔지니어링,3459400000000,0.0018,196000000,,"건축기술, 엔지니어링 및 관련 기술 서비스업"
130960,CJ E&M,3458775547700,0.0018,38732089,,텔레비전 방송업
001450,현대해상,3441900000000,0.0018,89400000,,보험업
010060,OCI,3410460053000,0.0018,23849371,,기초 화학물질 제조업
004170,신세계,3263677501500,0.0017,9845181,,종합 소매업
010140,삼성중공업,3256500000000,0.0017,390000000,,선박 및 보트 건조업
241560,두산밥캣,3223010686900,0.0017,100249166,,기타 금융업
950160,티슈진(Reg.S),3185020838000,0.0016,60899060,,기초 의약물질 및 생물학적 제제 제조업
000120,CJ대한통운,3125291128000,0.0016,22812344,,도로 화물 운송업
011070,LG이노텍,3100391017000,0.0016,23667107,,전자부품 제조업
003490,대한항공,3082450605000,0.0016,94844634,,항공 여객 운송업
088980,맥쿼리인프라,3061118826720,0.0016,349044336,,신탁업 및 집합투자업
012630,현대산업,3007828782000,0.0015,75384180,,건물 건설업
011780,금호석유,2979740179800,0.0015,30467691,,기초 화학물질 제조업
000880,한화,2945878285500,0.0015,74958735,,기타 화학제품 제조업
068760,셀트리온제약,2905474570700,0.0015,33357917,,의약품 제조업
042660,대우조선해양,2901051033600,0.0015,106656288,,선박 및 보트 건조업
003670,포스코켐텍,2835360000000,0.0015,59070000,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
282330,BGF리테일,2817276678000,0.0015,17283906,,종합 소매업
028670,팬오션,2784953108240,0.0014,534539944,,해상 운송업
016170,로엔,2782087550000,0.0014,25291705,,기록매체 복제업
253450,스튜디오드래곤,2761668140000,0.0014,28037240,,"영화, 비디오물, 방송프로그램 제작 및 배급업"
026960,동서,2746735000000,0.0014,99700000,,음·식료품 및 담배 도매업
000100,유한양행,2710476588000,0.0014,12209354,,의약품 제조업
263750,펄어비스,2673892080000,0.0014,12066300,,소프트웨어 개발 및 공급업
008560,메리츠종금증권,2631510457840,0.0014,605641072,,금융 지원 서비스업
047050,포스코대우,2621721916250,0.0014,123375149,,상품 중개업
007070,GS리테일,2610300000000,0.0013,77000000,,종합 소매업
145020,휴젤,2573955873000,0.0013,4358205,,기초 의약물질 및 생물학적 제제 제조업
000210,대림산업,2571720000000,0.0013,34800000,,토목 건설업
007310,오뚜기,2487120000000,0.0013,3440000,,기타 식품 제조업
078340,컴투스,2399587330000,0.0012,12866420,,소프트웨어 개발 및 공급업
006260,LS,2398900000000,0.0012,32200000,,기타 금융업
039490,키움증권,2397821790000,0.0012,22099740,,금융 지원 서비스업
000060,메리츠화재,2388817700000,0.0012,110338000,,보험업
006280,녹십자,2384053752000,0.0012,11686538,,의약품 제조업
069620,대웅제약,2346281437500,0.0012,11586575,,의약품 제조업
069960,현대백화점,2267696532900,0.0012,23402441,,종합 소매업
047040,대우건설,2240206018820,0.0012,415622638,,건물 건설업
010620,현대미포조선,2220000000000,0.0011,20000000,,선박 및 보트 건조업
005385,현대차우,2219722408800,0.0011,25109982,,
041960,코미팜,2216493718450,0.0011,55205323,,의약품 제조업
095700,제넥신,2197386172800,0.0011,20122584,,자연과학 및 공학 연구개발업
030000,제일기획,2145518846250,0.0011,115041225,,광고업
204320,만도,2141244672000,0.0011,9391424,,자동차 신품 부품 제조업
003410,쌍용양회,2136364682800,0.0011,100771919,,"시멘트, 석회, 플라스터 및 그 제품 제조업"
006360,GS건설,2107812831600,0.0011,71694314,,건물 건설업
138040,메리츠금융지주,2057555779200,0.0011,142885818,,기타 금융업
051600,한전KPS,2049750000000,0.0011,45000000,,전기 및 통신 공사업
139130,DGB금융지주,2029749996000,0.001,169145833,,기타 금융업
000150,두산,2015790315000,0.001,19198003,,회사 본부 및 경영 컨설팅 서비스업
017800,현대엘리베이,1970601040000,0.001,24632513,,일반 목적용 기계 제조업
085660,차바이오텍,1944543945500,0.001,51579415,,기초 의약물질 및 생물학적 제제 제조업
005250,녹십자홀딩스,1942265073000,0.001,47028210,,회사 본부 및 경영 컨설팅 서비스업
042670,두산인프라코어,1935754935600,0.001,208145692,,특수 목적용 기계 제조업
010120,LS산전,1911000000000,0.001,30000000,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
